,id,category
0,pic000000,green
1,pic000001,red
2,pic000002,red
3,pic000003,green
4,pic000004,green
5,pic000005,red
6,pic000006,green
7,pic000007,disabled
8,pic000008,green
9,pic000009,red
10,pic000010,disabled
11,pic000011,disabled
12,pic000012,green
13,pic000013,disabled
14,pic000014,disabled
15,pic000015,green
16,pic000016,green
17,pic000017,red
18,pic000018,red
19,pic000019,green
20,pic000020,green
21,pic000021,green
22,pic000022,red
23,pic000023,green
24,pic000024,green
25,pic000025,red
26,pic000026,red
27,pic000027,red
28,pic000028,green
29,pic000029,red
30,pic000030,red
31,pic000031,red
32,pic000032,disabled
33,pic000033,red
34,pic000034,green
35,pic000035,red
36,pic000036,green
37,pic000037,red
38,pic000038,red
39,pic000039,red
40,pic000040,green
41,pic000041,red
42,pic000042,green
43,pic000043,red
44,pic000044,green
45,pic000045,disabled
46,pic000046,red
47,pic000047,red
48,pic000048,disabled
49,pic000049,disabled
50,pic000050,green
51,pic000051,green
52,pic000052,disabled
53,pic000053,green
54,pic000054,green
55,pic000055,disabled
56,pic000056,green
57,pic000057,red
58,pic000058,red
59,pic000059,green
60,pic000060,red
61,pic000061,red
62,pic000062,green
63,pic000063,disabled
64,pic000064,green
65,pic000065,green
66,pic000066,red
67,pic000067,disabled
68,pic000068,green
69,pic000069,red
70,pic000070,red
71,pic000071,red
72,pic000072,red
73,pic000073,green
74,pic000074,red
75,pic000075,disabled
76,pic000076,red
77,pic000077,red
78,pic000078,red
79,pic000079,green
80,pic000080,green
81,pic000081,disabled
82,pic000082,disabled
83,pic000083,green
84,pic000084,red
85,pic000085,disabled
86,pic000086,green
87,pic000087,green
88,pic000088,disabled
89,pic000089,green
90,pic000090,disabled
91,pic000091,disabled
92,pic000092,red
93,pic000093,green
94,pic000094,green
95,pic000095,red
96,pic000096,disabled
97,pic000097,red
98,pic000098,green
99,pic000099,red
100,pic000100,red
101,pic000101,green
102,pic000102,red
103,pic000103,green
104,pic000104,green
105,pic000105,red
106,pic000106,green
107,pic000107,disabled
108,pic000108,green
109,pic000109,red
110,pic000110,red
111,pic000111,disabled
112,pic000112,green
113,pic000113,disabled
114,pic000114,disabled
115,pic000115,green
116,pic000116,red
117,pic000117,disabled
118,pic000118,green
119,pic000119,red
120,pic000120,green
121,pic000121,green
122,pic000122,red
123,pic000123,green
124,pic000124,red
125,pic000125,red
126,pic000126,red
127,pic000127,red
128,pic000128,disabled
129,pic000129,disabled
130,pic000130,red
131,pic000131,red
132,pic000132,red
133,pic000133,red
134,pic000134,disabled
135,pic000135,disabled
136,pic000136,red
137,pic000137,green
138,pic000138,red
139,pic000139,green
140,pic000140,red
141,pic000141,red
142,pic000142,green
143,pic000143,green
144,pic000144,disabled
145,pic000145,disabled
146,pic000146,red
147,pic000147,disabled
148,pic000148,green
149,pic000149,disabled
150,pic000150,green
151,pic000151,red
152,pic000152,green
153,pic000153,disabled
154,pic000154,red
155,pic000155,green
156,pic000156,disabled
157,pic000157,green
158,pic000158,disabled
159,pic000159,red
160,pic000160,green
161,pic000161,red
162,pic000162,green
163,pic000163,red
